,ID,ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICAC,CP,OTROS_CP,CONTROL,Geometry1_,geometry,POBTOT,P_18YMAS,TVIVHAB
10,462,16,54,EJIDAL OCOLUSEN,1,58295,,677,1=X<z0,"POLYGON ((-101.1591876011111 19.68796068270878, -101.1581736050294 19.68786370679084, -101.1579231724328 19.68781765218754, -101.1569970670844 19.68765080289255, -101.1564544440057 19.68757597864801, -101.1550948766836 19.68743053135874, -101.1539436362711 19.68729833262243, -101.1536712915341 19.6873031366738, -101.1535261569483 19.6873286977721, -101.1534340112523 19.68736085847456, -101.1531304373078 19.68640301896679, -101.1528799095454 19.6857267501398, -101.1528392358389 19.68561064600112, -101.1524933794194 19.68483452931251, -101.1523875054208 19.68458188743412, -101.1521667766227 19.68405517009419, -101.1519257237513 19.6833899720216, -101.1520329240668 19.68319361014883, -101.1528915033493 19.68264029465784, -101.1533477645258 19.68236285697783, -101.1539189785744 19.68210360201374, -101.1544901906358 19.68184434539711, -101.1557198021774 19.68112407502455, -101.1566506387765 19.68062937841946, -101.1574637986939 19.68032016480054, -101.1575902087254 19.68085351023856, -101.1577288293792 19.68137314358162, -101.157939452228 19.6822274851912, -101.1581224534057 19.6829034455688, -101.1582532434066 19.68341527237953, -101.158367092861 19.6838539059085, -101.1585106308323 19.6843975926199, -101.1585190581645 19.68466328392329, -101.1584907524416 19.68489106629784, -101.1584355636712 19.68530524185972, -101.158464783693 19.6855026570401, -101.1584918147969 19.68565610886882, -101.1572997907855 19.68586713055313, -101.1571550573415 19.68617434054654, -101.1571599357519 19.68653849671327, -101.1572754893983 19.68683082946047, -101.1575651461343 19.68715631582668, -101.1587342853945 19.68699063994953, -101.158835205128 19.68742060342307, -101.1589931991085 19.68763867327094, -101.1591876011111 19.68796068270878))",2992,2364,888
11,463,16,54,AMERICAS BRITANIA,2,58270,,678,1=X<z4f,"POLYGON ((-101.1493292127384 19.69468843848762, -101.1486374241983 19.69463085219598, -101.1478107511896 19.69440773631917, -101.1472742468394 19.69428179923027, -101.1470317866014 19.69413286130721, -101.1460322584175 19.69344364741005, -101.1454799065182 19.69301366601225, -101.1453096772871 19.69288114926641, -101.1447674840278 19.69260621772447, -101.1445026531647 19.69247192817317, -101.1439074784935 19.69219630424667, -101.1431877660911 19.6919975941752, -101.1425285612624 19.69201381092484, -101.141920174161 19.69204084178418, -101.1415121162044 19.69206783144445, -101.1412344336838 19.69197166385174, -101.1413384653839 19.69191153146049, -101.1414994478922 19.69167876793272, -101.1415377790478 19.69166504641728, -101.1416145592742 19.6915516234029, -101.1416455291686 19.6915076141945, -101.1418179269108 19.69113327778824, -101.1425904763288 19.68945577968104, -101.1426836900395 19.68938025021938, -101.1430595561167 19.68894581388877, -101.1430746280691 19.68891103916423, -101.143374880179 19.68897066393896, -101.1442373876313 19.68923265014443, -101.145622103453 19.68990168621476, -101.1462565921941 19.69015579398484, -101.1473091127354 19.69054232317449, -101.1476901675102 19.69067741904826, -101.1483037371267 19.69089639658846, -101.1490400961707 19.69116271162203, -101.1491833666986 19.69120864709827, -101.1501054838266 19.69152766795861, -101.1501625630268 19.6915469554676, -101.1502136109817 19.69156456062062, -101.1501258826106 19.6918276243769, -101.1496418338348 19.69382855753969, -101.14953773043 19.69452822850053, -101.1493292127384 19.69468843848762))",1259,992,385
12,464,16,54,JARDINES DEL RINCON,1,58270,,679,1=X<z4k,"POLYGON ((-101.1502136108451 19.69156456097232, -101.1501625628902 19.6915469558193, -101.15010548369 19.69152766831031, -101.1491833665624 19.69120864745001, -101.1490400960346 19.69116271197377, -101.148303736991 19.69089639694024, -101.1476901673747 19.69067741940007, -101.1473091126001 19.69054232352631, -101.1462565920593 19.69015579433672, -101.1462427602198 19.69002807604113, -101.1460454546352 19.6889255838845, -101.1458496189356 19.68774487232317, -101.1458023102114 19.68747264086588, -101.1466951726458 19.68733914417287, -101.1473851206799 19.68723598316088, -101.1480902622445 19.68713054757608, -101.1487786251973 19.68702761803059, -101.1488339608957 19.68717150399275, -101.1494985293071 19.68702976107005, -101.1496571459991 19.68698882573609, -101.1514114678327 19.68670885179457, -101.1529140721517 19.6864765646975, -101.1530274232604 19.68644560804718, -101.1530760975055 19.68641948750222, -101.1531304373078 19.68640301896679, -101.1534340112523 19.68736085847456, -101.1530720630757 19.68749872230571, -101.1520775055744 19.68848002022616, -101.1509720070882 19.68967548644398, -101.1507287529096 19.69008284325744, -101.1504236270623 19.69096048832822, -101.1502136108451 19.69156456097232))",2888,2196,770
13,465,16,54,CHARAQUENDO,1,58331,,680,1=X<z{(,"POLYGON ((-101.3725114631575 19.67426725704225, -101.3720644438399 19.67289057018527, -101.3716174334016 19.67151388122829, -101.3713843489794 19.67130716357988, -101.3739922188821 19.66979848055761, -101.3772869623928 19.66784053984117, -101.3773791228679 19.66781827774144, -101.3800052130841 19.66718390274235, -101.3801479431888 19.66789279996319, -101.3804268766554 19.67117806801588, -101.3792534113829 19.67163261257342, -101.3786861844203 19.67182894610367, -101.3781262655587 19.67203472600805, -101.3779560486703 19.6720930330581, -101.3776000050591 19.67221499360224, -101.3772684683902 19.67229356595653, -101.3761981329818 19.67264130758817, -101.3752728647868 19.6728464883196, -101.3741634921967 19.67306178003351, -101.3731101367755 19.67346061452605, -101.3728451757924 19.67363257885046, -101.3727109984656 19.67447687754022, -101.3725114631575 19.67426725704225))",29,13,10
14,466,16,54,RINCON DE OCOLUSEN,10,58270,,681,1=X<z4L,"POLYGON ((-101.1462565920593 19.69015579433672, -101.1456221033184 19.68990168656664, -101.1442373874974 19.68923265049642, -101.143374880179 19.68897066393896, -101.1430746279357 19.68891103951625, -101.1424008999528 19.68846138307272, -101.1438887296175 19.6880163140757, -101.1443018316286 19.68803962529125, -101.1444909384889 19.68800887320731, -101.1444656056671 19.68791372572507, -101.1458023102114 19.68747264086588, -101.1458496189356 19.68774487232317, -101.1460454546352 19.6889255838845, -101.1462427602198 19.69002807604113, -101.1462565920593 19.69015579433672))",322,256,104
15,467,16,54,OCOLUSEN III,1,58270,,682,1=X<z4k,"POLYGON ((-101.1496571459991 19.68698882573609, -101.1492759466351 19.68672500661398, -101.1488387332106 19.68640684054813, -101.1485852271135 19.6862617851601, -101.1481267896808 19.68596280542287, -101.1480495990739 19.68591886841623, -101.1476664355663 19.68572330981983, -101.1474817337246 19.68527597206785, -101.1474442092973 19.68514668077141, -101.1473164935824 19.68442008779995, -101.1473008299049 19.68406939953103, -101.1479995063382 19.68381865238114, -101.1484358155404 19.68364483678954, -101.1494642510159 19.68323512616352, -101.1499303319218 19.68301727827347, -101.1498772097368 19.68310693882118, -101.1493972309987 19.6837446057794, -101.1484660439509 19.68500531730383, -101.1483568947636 19.6850886982705, -101.1484705716997 19.68532006871143, -101.1498523772797 19.68509420099347, -101.150240622101 19.68502698121204, -101.1506813903218 19.68496517646456, -101.151056293854 19.68488846023357, -101.1517358965186 19.68478218798866, -101.1519367381521 19.68472045080714, -101.1523875054208 19.68458188743412, -101.1524933794194 19.68483452931251, -101.1528392358389 19.68561064600112, -101.1528799095454 19.6857267501398, -101.1531304373078 19.68640301896679, -101.1530760975055 19.68641948750222, -101.1530274232604 19.68644560804718, -101.1529140721517 19.6864765646975, -101.1514114678327 19.68670885179457, -101.1496571459991 19.68698882573609))",820,671,305
16,468,16,54,LA FLORESTA,2,58270,,683,1=X<z4k,"POLYGON ((-101.1484705716997 19.68532006871143, -101.1483568947636 19.6850886982705, -101.1484660439509 19.68500531730383, -101.1493972309987 19.6837446057794, -101.1498772097368 19.68310693882118, -101.1499303319218 19.68301727827347, -101.1520329240668 19.68319361014883, -101.1519257237513 19.6833899720216, -101.1521667766227 19.68405517009419, -101.1523875054208 19.68458188743412, -101.1519367381521 19.68472045080714, -101.1517358965186 19.68478218798866, -101.151056293854 19.68488846023357, -101.1506813903218 19.68496517646456, -101.150240622101 19.68502698121204, -101.1498523772797 19.68509420099347, -101.1484705716997 19.68532006871143))",579,458,178
17,1791,16,54,LA FLORESTA,2,58088,,1093,1=X<zA/,"POLYGON ((-101.205324686437 19.66798873383303, -101.2049923256401 19.66777372065484, -101.2048003924594 19.66744717045467, -101.2039099688801 19.66702086937145, -101.2032262787766 19.66581343266008, -101.2036310330953 19.6651550755062, -101.2042313220744 19.66494309760833, -101.2046083568353 19.66478538998344, -101.2058684588161 19.66453419824228, -101.2065009518549 19.66416995972241, -101.2085644665112 19.66600882343496, -101.2084366727664 19.66610847276935, -101.2078952697458 19.66655509869, -101.2075087899129 19.66681229962446, -101.2068128800297 19.66724710453581, -101.2057341191852 19.66778917275772, -101.205324686437 19.66798873383303))",579,458,178
18,469,16,54,FRAY ANTONIO DE SAN MIGUEL IGLESIAS,2,58270,,684,1=X<z4k,"POLYGON ((-101.1458023102114 19.68747264086588, -101.1457504461308 19.68717419483691, -101.1456452241825 19.68620048892191, -101.1458956416883 19.68617064151443, -101.1460520894802 19.68615358920844, -101.1464711587373 19.68609747456561, -101.1465861450132 19.68609422931216, -101.1468917286043 19.68604896093877, -101.1472548219006 19.686017557255, -101.1477318731938 19.68596546420544, -101.1480495990739 19.68591886841623, -101.1481267896808 19.68596280542287, -101.1485852271135 19.6862617851601, -101.1488387332106 19.68640684054813, -101.1492759466351 19.68672500661398, -101.1496571459991 19.68698882573609, -101.1494985293071 19.68702976107005, -101.1488339608957 19.68717150399275, -101.1487786251973 19.68702761803059, -101.1480902622445 19.68713054757608, -101.1473851206799 19.68723598316088, -101.1466951726458 19.68733914417287, -101.1458023102114 19.68747264086588))",735,590,269
19,470,16,54,PERIODISTAS,2,58270,,685,1=X<z4k,"POLYGON ((-101.143327478138 19.68635891532249, -101.1429603563557 19.68635947577504, -101.1430554528856 19.68611537323223, -101.1432786280156 19.68577939756755, -101.1433902213019 19.68567575392285, -101.1434377257967 19.68558895432189, -101.143447649502 19.68539109620464, -101.1434211662704 19.68505243026264, -101.1433812114169 19.68476298838045, -101.1433679104318 19.68458919620794, -101.1433891088212 19.68406144727134, -101.1447279915084 19.68370698570039, -101.1473008299049 19.68406939953103, -101.1473164935824 19.68442008779995, -101.1474442092973 19.68514668077141, -101.1474817337246 19.68527597206785, -101.1476664355663 19.68572330981983, -101.1480495990739 19.68591886841623, -101.1477318731938 19.68596546420544, -101.1472548219006 19.686017557255, -101.1468917286043 19.68604896093877, -101.1465861450132 19.68609422931216, -101.1464711587373 19.68609747456561, -101.1460520894802 19.68615358920844, -101.1458956416883 19.68617064151443, -101.1456452241825 19.68620048892191, -101.1449857425828 19.68625105581649, -101.1445981551115 19.68629294320055, -101.1442508831623 19.68632606471365, -101.1441734288061 19.68633355467218, -101.1437388543579 19.68633816092393, -101.143327478138 19.68635891532249))",773,631,262
